pickup_zone,dropoff_zone
Battery Park City,Penn Station/Madison Sq West
Steinway,Hillcrest/Pomonok
Lincoln Square East,Upper West Side South
JFK Airport,Midtown East
Upper East Side South,UN/Turtle Bay South
SoHo,Meatpacking/West Village West
Upper East Side South,Upper East Side South
Midtown East,Midtown East
Little Italy/NoLiTa,Gramercy
Union Sq,Times Sq/Theatre District
Greenwich Village South,Midtown South
Crown Heights North,Crown Heights South
Seaport,DUMBO/Vinegar Hill
Greenwich Village North,Meatpacking/West Village West
Midtown North,Midtown North
Upper West Side South,Bloomingdale
Lincoln Square West,Washington Heights South
Times Sq/Theatre District,Garment District
Upper West Side North,Morningside Heights
Midtown Center,Clinton East
Kips Bay,Brooklyn Heights
Greenwich Village North,Penn Station/Madison Sq West
Midtown North,Penn Station/Madison Sq West
Midtown South,Sutton Place/Turtle Bay North
East Chelsea,Upper East Side South
Times Sq/Theatre District,UN/Turtle Bay South
Union Sq,Midtown South
Murray Hill,Murray Hill
Hudson Sq,East Chelsea
Two Bridges/Seward Park,East Harlem South
East Chelsea,Garment District
Flatiron,East Chelsea
East Harlem North,East Harlem South
Times Sq/Theatre District,East Chelsea
Murray Hill,West Chelsea/Hudson Yards
Upper East Side South,Murray Hill
Times Sq/Theatre District,East Village
Clinton East,Midtown North
Penn Station/Madison Sq West,Garment District
West Chelsea/Hudson Yards,Melrose South
Battery Park City,Chinatown
Garment District,Murray Hill
Clinton East,Midtown South
Midtown North,Midtown East
Meatpacking/West Village West,Meatpacking/West Village West
East Village,Gramercy
Union Sq,East Village
Williamsburg (South Side),Williamsburg (South Side)
Lenox Hill East,Lincoln Square East
East Chelsea,Park Slope
Greenwich Village South,World Trade Center
Lenox Hill West,Upper East Side North
Upper East Side South,Midtown East
Yorkville West,Alphabet City
Times Sq/Theatre District,Penn Station/Madison Sq West
Penn Station/Madison Sq West,Williamsburg (South Side)
West Chelsea/Hudson Yards,Midtown South
Midtown Center,Financial District South
LaGuardia Airport,Garment District
Clinton East,West Village
Lincoln Square East,Midtown Center
Bloomingdale,Upper West Side South
Old Astoria,Old Astoria
Times Sq/Theatre District,West Village
Upper East Side North,Yorkville West
Upper East Side North,Lenox Hill West
UN/Turtle Bay South,UN/Turtle Bay South
Times Sq/Theatre District,Penn Station/Madison Sq West
Penn Station/Madison Sq West,Lower East Side
Upper East Side South,Upper East Side South
Midtown South,Central Park
Garment District,Upper West Side North
Lincoln Square West,Lincoln Square West
LaGuardia Airport,Williamsburg (South Side)
JFK Airport,East New York
Midtown North,Lincoln Square East
Upper East Side South,Upper West Side North
Two Bridges/Seward Park,Gramercy
East Chelsea,West Chelsea/Hudson Yards
East Village,Financial District South
Lincoln Square West,Lower East Side
Lincoln Square East,Midtown East
East Chelsea,Clinton East
Lenox Hill West,Lenox Hill West
West Village,Penn Station/Madison Sq West
World Trade Center,Clinton East
East Village,Greenwich Village North
Sunnyside,Elmhurst
Lenox Hill East,Clinton East
Gramercy,Greenwich Village South
Times Sq/Theatre District,West Chelsea/Hudson Yards
Midtown North,Times Sq/Theatre District
Lenox Hill East,Lenox Hill East
,Lincoln Square East
Washington Heights South,University Heights/Morris Heights
Midtown North,Times Sq/Theatre District
Upper East Side North,East Harlem North
LaGuardia Airport,Central Harlem North
East Chelsea,Manhattan Valley
Flatiron,Greenwich Village North
Penn Station/Madison Sq West,Financial District North
Midtown South,Kips Bay
Upper West Side North,Upper West Side South
Astoria,UN/Turtle Bay South
Sunnyside,Astoria
Lincoln Square East,Upper East Side South
Midtown North,Midtown South
Midtown South,Financial District South
Upper West Side South,Midtown Center
Murray Hill,Midtown East
Upper East Side North,Upper East Side North
Clinton East,Greenwich Village North
Lenox Hill East,Upper West Side South
Midtown East,Upper West Side North
Upper East Side South,
Lincoln Square East,Midtown North
Greenwich Village North,Murray Hill
Greenwich Village South,Flatiron
Penn Station/Madison Sq West,Garment District
Murray Hill,Clinton West
Greenwich Village South,Little Italy/NoLiTa
Garment District,Midtown South
JFK Airport,East New York
UN/Turtle Bay South,East Harlem South
Midtown Center,Upper East Side North
Upper East Side North,Midtown Center
West Village,West Village
Midtown East,Upper East Side North
Sutton Place/Turtle Bay North,Murray Hill
Yorkville West,Lincoln Square East
Kips Bay,Midtown South
Lenox Hill West,Lenox Hill West
Greenwich Village North,East Village
Upper West Side South,Yorkville East
Greenwich Village North,Greenwich Village South
Midtown Center,Upper East Side North
Lenox Hill West,Upper East Side North
Lincoln Square East,Upper West Side North
LaGuardia Airport,Flushing Meadows-Corona Park
East Village,Midtown North
Penn Station/Madison Sq West,West Chelsea/Hudson Yards
TriBeCa/Civic Center,Columbia Street
Flatiron,Greenwich Village South
World Trade Center,Meatpacking/West Village West
West Village,World Trade Center
Times Sq/Theatre District,Penn Station/Madison Sq West
Times Sq/Theatre District,Sunnyside
Midtown Center,Lower East Side
Upper East Side North,Manhattan Valley
Union Sq,Greenwich Village North
West Village,Flatiron
Upper East Side South,Midtown East
Midtown Center,Upper West Side North
Midtown North,Kips Bay
Midtown Center,Midtown North
Penn Station/Madison Sq West,Union Sq
Little Italy/NoLiTa,Union Sq
Upper East Side South,Upper East Side North
Sutton Place/Turtle Bay North,Sutton Place/Turtle Bay North
West Village,Penn Station/Madison Sq West
Midtown East,East Chelsea
East Village,Union Sq
Lincoln Square West,Upper West Side North
Midtown North,Lower East Side
Murray Hill,Clinton West
Meatpacking/West Village West,TriBeCa/Civic Center
Upper East Side North,Lincoln Square East
JFK Airport,Woodhaven
Kips Bay,UN/Turtle Bay South
Lincoln Square East,Lincoln Square West
Long Island City/Queens Plaza,Astoria
East Village,Murray Hill
Times Sq/Theatre District,Midtown Center
Manhattanville,Midtown East
Lenox Hill East,Midtown East
Union Sq,Murray Hill
Midtown North,Midtown East
Garment District,Midtown Center
Midtown South,East Chelsea
Murray Hill,Murray Hill
West Chelsea/Hudson Yards,East Chelsea
Upper East Side South,Middle Village
Lincoln Square West,Upper East Side South
East Village,Flatiron
Upper East Side South,Lenox Hill West
Midtown South,Gramercy
Midtown South,Union Sq
East Chelsea,Sutton Place/Turtle Bay North
Chinatown,Penn Station/Madison Sq West
Upper East Side South,Upper West Side North
Lenox Hill West,Murray Hill
Greenwich Village South,West Village
West Village,East Village
Lincoln Square East,Jackson Heights
Upper East Side South,Midtown Center
Union Sq,Garment District
Penn Station/Madison Sq West,UN/Turtle Bay South
Union Sq,Gramercy
Kips Bay,Garment District
JFK Airport,JFK Airport
Garment District,Midtown Center
Astoria,Astoria
JFK Airport,JFK Airport
Penn Station/Madison Sq West,Battery Park City
Midtown North,Murray Hill
TriBeCa/Civic Center,UN/Turtle Bay South
Clinton East,East Chelsea
Penn Station/Madison Sq West,Union Sq
Upper East Side South,Upper West Side North
Times Sq/Theatre District,Little Italy/NoLiTa
LaGuardia Airport,Richmond Hill
World Trade Center,West Village
Midtown Center,Midtown East
UN/Turtle Bay South,Gramercy
Murray Hill,Garment District
Lincoln Square East,Lincoln Square West
LaGuardia Airport,Lower East Side
Union Sq,Times Sq/Theatre District
Murray Hill,Garment District
Times Sq/Theatre District,Garment District
Upper East Side South,Upper East Side North
Upper East Side South,Lenox Hill West
Upper East Side North,East Harlem South
Clinton East,Penn Station/Madison Sq West
Greenwich Village North,Midtown South
Lenox Hill East,Upper East Side South
Astoria,Astoria
Central Park,Clinton East
Clinton East,Midtown East
Upper East Side North,Upper East Side North
Elmhurst,Briarwood/Jamaica Hills
JFK Airport,Canarsie
Lower East Side,Gowanus
Yorkville West,East Harlem South
Central Harlem,Central Harlem
Upper East Side North,Lenox Hill West
Yorkville West,Upper East Side South
Lenox Hill East,Upper West Side South
Penn Station/Madison Sq West,Midtown Center
Lenox Hill East,Lenox Hill West
Chinatown,DUMBO/Vinegar Hill
East Chelsea,UN/Turtle Bay South
Midtown North,Clinton East
Park Slope,East Village
Sutton Place/Turtle Bay North,Woodside
Penn Station/Madison Sq West,Midtown South
Midtown Center,Upper East Side North
Park Slope,Gramercy
Upper East Side South,Sutton Place/Turtle Bay North
Midtown East,Times Sq/Theatre District
Midtown South,Yorkville East
East Chelsea,Garment District
Greenwich Village North,East Village
Penn Station/Madison Sq West,Times Sq/Theatre District
Midtown South,TriBeCa/Civic Center
Upper East Side North,Meatpacking/West Village West
Hudson Sq,Little Italy/NoLiTa
TriBeCa/Civic Center,Prospect Heights
West Chelsea/Hudson Yards,Midtown South
Sutton Place/Turtle Bay North,UN/Turtle Bay South
UN/Turtle Bay South,UN/Turtle Bay South
Greenwich Village North,SoHo
Garment District,Lincoln Square East
Upper West Side South,Central Harlem
Penn Station/Madison Sq West,East Harlem South
East Harlem South,Highbridge
Lower East Side,Cobble Hill
Yorkville West,Gramercy
Lenox Hill West,Sunnyside
Upper East Side South,Upper East Side North
Upper East Side South,East Harlem South
East Village,Flatiron
Boerum Hill,Downtown Brooklyn/MetroTech
Gramercy,Union Sq
Garment District,Clinton East
Upper East Side North,Upper East Side North
Times Sq/Theatre District,West Chelsea/Hudson Yards
JFK Airport,Baisley Park
Gramercy,Midtown South
Garment District,UN/Turtle Bay South
Upper West Side South,Washington Heights South
Greenwich Village South,Murray Hill
Greenwich Village South,Murray Hill
Clinton East,Times Sq/Theatre District
Murray Hill,Clinton East
East Harlem South,Upper East Side North
Murray Hill,UN/Turtle Bay South
West Village,Manhattanville
Lincoln Square East,Lincoln Square East
East Harlem South,East Harlem North
JFK Airport,Riverdale/North Riverdale/Fieldston
Penn Station/Madison Sq West,Midtown Center
Times Sq/Theatre District,Clinton East
Midtown East,Garment District
East Harlem North,Yorkville East
Midtown North,Clinton East
JFK Airport,East Village
Midtown South,Times Sq/Theatre District
Midtown Center,Park Slope
LaGuardia Airport,JFK Airport
Murray Hill,Murray Hill
Upper East Side South,East Village
East Chelsea,Upper West Side North
Clinton East,Midtown Center
Lincoln Square West,East Harlem South
Clinton East,Lenox Hill East
Midtown South,Sutton Place/Turtle Bay North
Flatiron,Greenwich Village South
West Chelsea/Hudson Yards,Times Sq/Theatre District
East Chelsea,Kips Bay
Manhattan Valley,Upper West Side South
Clinton West,West Chelsea/Hudson Yards
Manhattan Valley,LaGuardia Airport
Union Sq,UN/Turtle Bay South
Upper West Side South,Upper West Side North
Lincoln Square West,Midtown South
Long Island City/Hunters Point,Long Island City/Hunters Point
LaGuardia Airport,Astoria
East Village,Midtown East
LaGuardia Airport,East Flatbush/Farragut
Sutton Place/Turtle Bay North,UN/Turtle Bay South
Murray Hill,Upper East Side South
Gramercy,Murray Hill
Manhattan Valley,Garment District
Morningside Heights,Upper West Side North
Central Park,Midtown North
Kips Bay,East Chelsea
UN/Turtle Bay South,Lenox Hill West
JFK Airport,Downtown Brooklyn/MetroTech
Clinton East,Lower East Side
Sutton Place/Turtle Bay North,Midtown Center
East Village,Midtown East
Greenwich Village North,Hudson Sq
East Chelsea,Murray Hill
Midtown Center,Clinton East
East Chelsea,West Chelsea/Hudson Yards
Midtown East,Sutton Place/Turtle Bay North
Upper West Side North,Penn Station/Madison Sq West
Clinton East,East Chelsea
Yorkville East,Yorkville West
Penn Station/Madison Sq West,Clinton East
JFK Airport,East New York
Midtown East,Sunnyside
UN/Turtle Bay South,Central Park
Little Italy/NoLiTa,Times Sq/Theatre District
Lincoln Square West,Upper West Side South
Upper East Side South,Mott Haven/Port Morris
East Chelsea,Penn Station/Madison Sq West
Garment District,East Chelsea
Sunnyside,Sunnyside
Upper East Side South,Lenox Hill East
Upper East Side South,Lenox Hill East
Midtown South,West Village
Midtown East,East Chelsea
Midtown Center,JFK Airport
Times Sq/Theatre District,Upper East Side North
Fort Greene,Prospect Heights
Penn Station/Madison Sq West,Boerum Hill
Ridgewood,Bushwick North
TriBeCa/Civic Center,Crown Heights South
Upper West Side South,Upper East Side North
Midtown Center,Lenox Hill West
Upper West Side South,East Harlem North
Murray Hill,Midtown East
Murray Hill,Murray Hill
Lenox Hill East,Lincoln Square East
East Chelsea,Upper East Side North
JFK Airport,South Jamaica
Meatpacking/West Village West,West Chelsea/Hudson Yards
Midtown South,Midtown East
East Village,Lower East Side
JFK Airport,Long Island City/Hunters Point
JFK Airport,Howard Beach
Times Sq/Theatre District,Midtown Center
Clinton East,East Chelsea
Central Harlem,Central Harlem
Clinton East,Sutton Place/Turtle Bay North
Midtown Center,Penn Station/Madison Sq West
Gramercy,Kips Bay
Flatiron,Gramercy
Lenox Hill East,Upper East Side North
East Village,Two Bridges/Seward Park
Midtown South,Two Bridges/Seward Park
West Village,Lincoln Square East
Union Sq,Upper West Side North
Garment District,Central Park
Lower East Side,Lenox Hill West
Long Island City/Hunters Point,Murray Hill
Upper East Side North,Upper East Side North
JFK Airport,Woodlawn/Wakefield
Clinton East,East Chelsea
Manhattanville,Morningside Heights
Clinton East,Midtown North
Old Astoria,Queensbridge/Ravenswood
Lower East Side,East Village
Times Sq/Theatre District,Midtown Center
Central Park,Manhattan Valley
Penn Station/Madison Sq West,Midtown Center
Upper East Side North,Upper West Side North
Central Park,Times Sq/Theatre District
Lenox Hill West,Upper West Side South
UN/Turtle Bay South,Gramercy
East Chelsea,Flatiron
Garment District,Greenwich Village South
Upper East Side South,Times Sq/Theatre District
Lincoln Square West,JFK Airport
East Chelsea,Penn Station/Madison Sq West
Lenox Hill East,Yorkville East
Central Park,Midtown South
Times Sq/Theatre District,Midtown Center
Clinton East,Upper West Side South
Greenwich Village South,Financial District South
Midtown North,Midtown East
Washington Heights South,Hamilton Heights
Upper West Side South,Upper East Side North
Murray Hill,Midtown North
Manhattanville,Central Harlem
Gramercy,Stuyvesant Heights
Clinton East,East Chelsea
Midtown South,UN/Turtle Bay South
TriBeCa/Civic Center,Seaport
Midtown North,Garment District
East Village,Alphabet City
Clinton East,Clinton East
Astoria,UN/Turtle Bay South
Hamilton Heights,Hamilton Heights
Sutton Place/Turtle Bay North,UN/Turtle Bay South
Midtown Center,Murray Hill
Upper East Side South,Central Harlem
Upper East Side North,Upper East Side South
TriBeCa/Civic Center,Penn Station/Madison Sq West
Garment District,Murray Hill
Little Italy/NoLiTa,Upper East Side North
Lower East Side,Lenox Hill West
Lenox Hill West,Lenox Hill West
Lincoln Square West,Clinton East
West Village,Central Park
Hudson Sq,Meatpacking/West Village West
Seaport,SoHo
Lincoln Square East,Lincoln Square West
Yorkville East,East Harlem North
East Concourse/Concourse Village,West Concourse
Gramercy,East Village
Midtown South,Upper East Side North
Upper East Side North,Upper East Side North
Midtown North,Times Sq/Theatre District
Midtown Center,Midtown South
Times Sq/Theatre District,West Chelsea/Hudson Yards
Midtown North,Penn Station/Madison Sq West
JFK Airport,Queens Village
Flushing,North Corona
Hudson Sq,West Village
East Village,West Village
Lenox Hill West,Sutton Place/Turtle Bay North
Lincoln Square West,Upper East Side North
World Trade Center,Financial District South
Midtown Center,Lincoln Square East
Elmhurst,Jackson Heights
Sunnyside,UN/Turtle Bay South
Murray Hill,East Harlem South
West Chelsea/Hudson Yards,Clinton East
Times Sq/Theatre District,Midtown South
Flatiron,East Village
Upper East Side North,Lenox Hill West
Midtown South,LaGuardia Airport
TriBeCa/Civic Center,Brooklyn Heights
TriBeCa/Civic Center,Chinatown
Upper West Side South,Upper West Side North
JFK Airport,
Upper East Side North,Penn Station/Madison Sq West
Sutton Place/Turtle Bay North,Upper East Side South
East Chelsea,Midtown North
East Village,Clinton East
Flatiron,Yorkville East
Upper West Side South,Yorkville East
World Trade Center,Greenwich Village North
Murray Hill,Garment District
Kips Bay,UN/Turtle Bay South
Yorkville East,Upper East Side North
Penn Station/Madison Sq West,East Chelsea
Midtown East,Upper East Side South
Penn Station/Madison Sq West,Clinton East
West Village,Bushwick North
Upper East Side South,Upper East Side North
Battery Park City,Midtown South
Midtown Center,LaGuardia Airport
Hamilton Heights,Central Harlem North
Lincoln Square East,Lincoln Square West
Greenwich Village North,Upper East Side North
Upper West Side South,East Chelsea
Lincoln Square West,Clinton West
Greenwich Village South,Glendale
Lenox Hill East,Upper West Side North
Jackson Heights,Clinton East
Upper West Side North,Upper West Side North
Seaport,East Concourse/Concourse Village
Yorkville West,Lenox Hill West
Upper West Side South,Lenox Hill East
Midtown North,Morningside Heights
Greenwich Village South,Greenwich Village South
East Harlem North,
Penn Station/Madison Sq West,Flatiron
Penn Station/Madison Sq West,Upper East Side South
Midtown Center,Penn Station/Madison Sq West
Williamsburg (South Side),Murray Hill
Clinton West,Midtown North
Upper West Side North,Upper West Side South
Yorkville West,Sutton Place/Turtle Bay North
West Chelsea/Hudson Yards,Times Sq/Theatre District
Meatpacking/West Village West,Central Park
Penn Station/Madison Sq West,West Chelsea/Hudson Yards
Garment District,Lincoln Square East
Times Sq/Theatre District,Murray Hill
Clinton West,East Chelsea
Upper East Side North,Upper East Side North
West Village,Kips Bay
Lincoln Square West,Upper West Side North
East Village,Lincoln Square East
West Chelsea/Hudson Yards,JFK Airport
Lincoln Square East,Upper West Side South
Midtown Center,Astoria
Upper East Side South,Lenox Hill East
Union Sq,TriBeCa/Civic Center
Murray Hill,Upper East Side South
Upper East Side South,Lincoln Square East
Bushwick North,Bushwick South
East Chelsea,East Chelsea
Upper East Side North,Midtown East
Union Sq,Garment District
Midtown East,Yorkville West
Midtown East,Clinton East
Morningside Heights,Upper East Side North
Yorkville West,Lincoln Square East
West Village,Yorkville West
World Trade Center,Financial District South
LaGuardia Airport,Rego Park
Upper East Side North,Lincoln Square West
JFK Airport,Midtown North
West Concourse,East Harlem North
Brooklyn Heights,Brooklyn Heights
Seaport,UN/Turtle Bay South
Yorkville West,East Harlem North
Seaport,Battery Park City
JFK Airport,
Old Astoria,Sutton Place/Turtle Bay North
East Chelsea,Times Sq/Theatre District
JFK Airport,Flushing Meadows-Corona Park
Clinton East,Upper West Side South
East Chelsea,Penn Station/Madison Sq West
Upper West Side North,Upper West Side South
Yorkville East,West Village
Upper East Side North,East Harlem North
Clinton East,Upper West Side South
Astoria,Sunnyside
Park Slope,Sunset Park West
Upper West Side North,Manhattan Valley
Financial District North,Little Italy/NoLiTa
Penn Station/Madison Sq West,Midtown South
JFK Airport,South Ozone Park
Greenwich Village South,TriBeCa/Civic Center
Sutton Place/Turtle Bay North,Kips Bay
Penn Station/Madison Sq West,TriBeCa/Civic Center
Midtown South,Midtown Center
JFK Airport,Clinton East
Lincoln Square East,Upper West Side North
East Village,East Harlem North
Flatiron,Times Sq/Theatre District
Upper East Side South,East Harlem South
Steinway,East Harlem North
East Chelsea,East Chelsea
Lenox Hill East,Yorkville West
Lenox Hill West,Upper East Side North
Washington Heights South,Clinton West
Central Harlem North,East Harlem South
Greenwich Village South,Clinton Hill
East Harlem South,Central Harlem
Midtown South,Midtown North
East Village,Greenwich Village South
Midtown Center,Midtown East
Midtown South,Midtown North
Murray Hill,Gramercy
Yorkville East,Lenox Hill East
UN/Turtle Bay South,Midtown South
JFK Airport,Stuy Town/Peter Cooper Village
Union Sq,Washington Heights South
Greenwich Village North,Gramercy
Yorkville East,East Harlem South
Murray Hill,Upper East Side North
Murray Hill,East Chelsea
Midtown North,Upper East Side South
East Chelsea,Times Sq/Theatre District
Upper East Side South,Upper East Side South
Gramercy,Midtown Center
Greenwich Village North,East Village
Midtown East,Midtown Center
Murray Hill,Midtown Center
Union Sq,Sutton Place/Turtle Bay North
Financial District South,Financial District South
Upper East Side North,Lenox Hill East
Chinatown,Midtown East
Greenwich Village North,Greenwich Village South
Lenox Hill East,Upper East Side North
LaGuardia Airport,Midtown East
Midtown North,Midtown North
Midtown East,East Chelsea
Chinatown,Seaport
Fort Greene,Lower East Side
Astoria,Sunnyside
Penn Station/Madison Sq West,Seaport
Upper East Side North,Upper East Side North
Seaport,Lower East Side
Times Sq/Theatre District,Kips Bay
LaGuardia Airport,Clinton Hill
Times Sq/Theatre District,Midtown North
Upper East Side South,Midtown North
Central Park,Times Sq/Theatre District
SoHo,Little Italy/NoLiTa
Upper East Side South,Upper East Side North
East Chelsea,Norwood
Midtown Center,Garment District
East Harlem North,East Harlem South
UN/Turtle Bay South,Long Island City/Hunters Point
Times Sq/Theatre District,Yorkville West
Upper West Side South,Upper West Side South
Yorkville East,Murray Hill
Sutton Place/Turtle Bay North,UN/Turtle Bay South
Flatiron,Kips Bay
Midtown North,Penn Station/Madison Sq West
East Village,Sutton Place/Turtle Bay North
Midtown East,East Village
Astoria,Astoria
JFK Airport,Lenox Hill East
East Village,Clinton East
Fort Greene,Stuyvesant Heights
Midtown East,Upper East Side North
Central Harlem North,Central Harlem North
Clinton East,Garment District
East Chelsea,Hudson Sq
East Chelsea,Flatiron
Lenox Hill East,Upper East Side North
Woodside,North Corona
JFK Airport,Elmhurst
Manhattan Valley,Upper West Side North
Yorkville West,Lenox Hill East
Upper West Side North,Lincoln Square West
Lincoln Square East,Upper East Side South
Midtown Center,East Chelsea
Lenox Hill East,Lenox Hill West
SoHo,Upper East Side North
Sunnyside,Astoria
Sutton Place/Turtle Bay North,Upper East Side South
Lower East Side,Penn Station/Madison Sq West
East Harlem South,East Harlem South
Hamilton Heights,Manhattan Valley
Midtown Center,Greenwich Village North
Upper East Side South,Central Park
West Chelsea/Hudson Yards,SoHo
Midtown Center,Parkchester
East Chelsea,Sutton Place/Turtle Bay North
Times Sq/Theatre District,Clinton West
JFK Airport,
Flatiron,Meatpacking/West Village West
Times Sq/Theatre District,Seaport
Fordham South,University Heights/Morris Heights
Lincoln Square East,Manhattanville
East Chelsea,Garment District
Kips Bay,East Tremont
Midtown North,Upper East Side North
East Harlem South,Mott Haven/Port Morris
Midtown East,Sutton Place/Turtle Bay North
Greenwich Village South,Lower East Side
Midtown East,UN/Turtle Bay South
Meatpacking/West Village West,Garment District
Penn Station/Madison Sq West,Midtown East
Garment District,Midtown North
East Elmhurst,Astoria
Midtown Center,Howard Beach
Clinton East,Times Sq/Theatre District
Upper East Side South,Lenox Hill East
Lincoln Square East,Lincoln Square West
Midtown East,Penn Station/Madison Sq West
Flatiron,Midtown East
Midtown Center,Union Sq
Midtown East,Murray Hill
Midtown East,Times Sq/Theatre District
Upper East Side North,Yorkville East
West Village,West Village
Flatiron,Penn Station/Madison Sq West
Bloomingdale,Manhattan Valley
Lower East Side,Williamsburg (South Side)
Meatpacking/West Village West,Morningside Heights
West Chelsea/Hudson Yards,Battery Park City
East Chelsea,Highbridge
Penn Station/Madison Sq West,Upper East Side North
Little Italy/NoLiTa,Times Sq/Theatre District
Upper West Side North,Central Harlem
Times Sq/Theatre District,Upper West Side North
Upper East Side North,Midtown East
Clinton East,Sutton Place/Turtle Bay North
Garment District,Times Sq/Theatre District
Clinton East,Midtown North
Stuy Town/Peter Cooper Village,Murray Hill
Upper East Side North,Lenox Hill East
West Village,Little Italy/NoLiTa
Greenwich Village South,Murray Hill
Upper East Side South,Midtown Center
JFK Airport,Midtown North
Greenwich Village North,Midtown North
Midtown Center,Midtown North
,
Downtown Brooklyn/MetroTech,West Chelsea/Hudson Yards
Midtown Center,Midtown Center
Lenox Hill East,Sutton Place/Turtle Bay North
East Chelsea,Flatiron
East Village,East Williamsburg
Upper East Side North,East Harlem North
Lower East Side,Williamsburg (North Side)
LaGuardia Airport,Long Island City/Queens Plaza
East Village,Flatiron
Upper West Side North,Lincoln Square East
Clinton West,Clinton East
Upper West Side North,Lincoln Square East
Union Sq,Murray Hill
Yorkville East,Lenox Hill East
Gramercy,Midtown East
Little Italy/NoLiTa,Murray Hill
Penn Station/Madison Sq West,Union Sq
Times Sq/Theatre District,Times Sq/Theatre District
Lenox Hill West,Midtown East
Penn Station/Madison Sq West,Clinton East
Clinton East,Central Park
Upper East Side North,Murray Hill
Elmhurst,Steinway
Penn Station/Madison Sq West,Upper East Side South
Garment District,Penn Station/Madison Sq West
Times Sq/Theatre District,Lincoln Square East
Midtown South,Midtown North
TriBeCa/Civic Center,Lower East Side
Lenox Hill West,Central Park
East Village,East Village
LaGuardia Airport,Kew Gardens
Times Sq/Theatre District,Clinton West
Upper West Side South,Mott Haven/Port Morris
Upper East Side North,Upper East Side North
Clinton East,Sunnyside
Upper East Side South,Yorkville West
Midtown South,Midtown Center
East Village,Greenwich Village North
Midtown East,Upper East Side North
Yorkville West,Central Park
Garment District,Midtown Center
SoHo,Murray Hill
Garment District,Garment District
Lenox Hill West,Sutton Place/Turtle Bay North
Lower East Side,West Village
Midtown North,Upper East Side South
JFK Airport,Washington Heights North
Garment District,Times Sq/Theatre District
Clinton East,Midtown Center
Clinton East,East Chelsea
Midtown East,Murray Hill
Midtown East,Penn Station/Madison Sq West
Clinton East,Flatiron
Lower East Side,Alphabet City
Murray Hill,Sutton Place/Turtle Bay North
Upper East Side South,Upper East Side North
SoHo,Lincoln Square East
Lenox Hill East,Midtown North
Gramercy,East Chelsea
JFK Airport,Glendale
